area,value
Te Atatu South-McLeod South,4010
Takapuna South,1520
Rosebank Peninsula,40
Hauraki,4310
Glendene North,4930
Sunnyvale West-Parrs Park,2720
Sunnyvale East,5030
Point Chevalier West,3960
Belmont (Auckland),3140
Bayswater,2960
Glendene South,3040
Glen Eden West,3980
Herne Bay,3120
Westmere North,2400
Point Chevalier East,4760
Oratia,2210
Glen Eden Rosier,3710
Saint Marys Bay,2310
Westmere South-Western Springs,3190
Ponsonby West,2380
Kelston North,2930
Avondale Rosebank,4570
Narrow Neck,4220
Glen Eden North,2530
Glen Eden Woodglen,4450
Kelston South,2750
Waterview,3560
Ponsonby East,3500
Wynyard-Viaduct,1110
Stanley Point,2090
Glen Eden Central,3790
Grey Lynn North,3210
Avondale West (Auckland),4280
Freemans Bay,4590
Mount Albert West,2820
Avondale North (Auckland),4740
Grey Lynn West,3270
Mount Albert North,4230
New Lynn North,3520
Victoria Park,2270
Konini,3690
New Lynn North West,3320
Hobson Ridge North,2720
Grey Lynn Central,3710
Fruitvale,3110
Devonport,3460
Avondale Central (Auckland),3200
Queen Street,2440
Quay Street-Customs Street,2480
Hobson Ridge Central,4190
Grey Lynn East,2000
Morningside (Auckland),4190
Shortland Street,1730
Hobson Ridge South,2160
New Lynn Central,600
Cheltenham,2070
Queen Street South West,1770
Mount Albert Central,3820
Karangahape,2480
Kingsland,3580
Anzac Avenue,3020
Waima-Woodlands Park,2740
Kaurilands,3290
Auckland-University,120
New Lynn Seabrook,3050
Avondale South (Auckland),4550
Symonds Street North West,3240
Mount Albert South,2510
Symonds Street West,3170
West Lynn,3290
Owairaka West,3450
New Lynn Central South,2980
The Strand,1460
St Lukes,2560
Symonds Street East,2210
Eden Terrace,4270
Grafton,1800
Eden Park,1780
Sandringham North,4150
Parnell West,4410
New Lynn South,4910
New Windsor North,3460
Titirangi South,4160
Owairaka East,2170
Eden Valley,2350
Sandringham Central,2550
Glenavon,3110
Blockhouse Bay North,4100
Green Bay North,1850
Parnell East,3550
Laingholm,2460
Sandringham West,2450
Mount Eden North East,1170
Mount Eden North,3650
Wesley West,3660
Green Bay South,3110
Balmoral,3360
Sandringham East,3640
New Windsor South,4800
Mount Eden West,3420
Newmarket,4300
Blockhouse Bay North East,2330
Epsom North,3630
Wesley South,70
Blockhouse Bay South,4420
Mount Eden East,3030
Wesley East,2300
Orakei West,2890
Maungawhau,3160
Remuera West,2910
Blockhouse Bay East,2690
Lynfield North,3250
Mount Roskill North,4060
Mount Roskill White Swan,4870
Mount Eden South,4130
Remuera Waitaramoa,4120
Orakei East,2980
Epsom Central-North,4150
Mount St John,3750
Mount Roskill Central North,3550
Remuera North,3710
Three Kings West,2400
Mount Roskill Central South,2570
Epsom Central-South,4130
Lynfield South,4710
Remuera South,4110
Mission Bay,4500
Three Kings East,1440
Mount Roskill South,3320
Inlet Manukau Harbour,0
Epsom East,2510
Remuera Waiata,2910
Epsom South,2320
Kohimarama,4510
Meadowbank West,2830
Rolleston South West,2970
Southbridge,2590
Rolleston South East,3220
Trents,1980
Prebbleton,4680
Irwell,1320
Ladbrooks,1780
Lincoln West,3130
Lincoln East,3710
Leeston,2290
Tai Tapu,1210
Motukarara,630
Inland water Lake Ellesmere/Te Waihora North,0
Ashburton Lakes,100
Cairnbrae,1510
Ashburton Forks,2300
Methven,1860
Ealing-Lowcliffe,1630
Eiffelton,2570
Chertsey,1690
Winchmore-Wakanui,1600
Allenton North,2630
Allenton South,2210
Rakaia,1480
Ashburton North,1070
Allenton East,2180
Tinwald North,1210
Ashburton Central,150
Ashburton West,970
Tinwald South,2420
Ashburton East,1810
Netherby,2210
Hampstead,3020
Ben McLeod,140
Arundel,1430
Levels Valley,1070
Geraldine,2750
Rangitata,1690
Waitohi (Timaru district),1810
Pleasant Point,1430
Temuka West,2220
Hadlow,1470
Levels,1250
Temuka East,2380
Gleniti North,1520
Washdyke,1050
Fairview,1670
Gleniti South,2480
Glenwood,1850
Marchwiel West,1580
Marchwiel East,2030
Highfield North,2390
Highfield South,1290
Waimataitai-Maori Hill,2100
Fraser Park,2840
Seaview,2170
Inlet Port Timaru,0
Watlington,2320
Timaru Central,430
Timaru East,310
Parkside,2450
Kensington (Timaru district),1510
Mackenzie Lakes,1250
Inland water Lake Pukaki,0
Inland water Lake Tekapo,0
Twizel,1530
Opua (Mackenzie district),1410
Fairlie,920
Hakataramea,870
Maungati,770
Lyalldale,710
Makikihi-Willowbridge,1050
Waimate North,520
Morven-Glenavy-Ikawai,1140
Waimate West,1380
Waimate East,1670
Oceanic Chatham Islands,0
Chatham Islands,690
Aviemore,800
Inland water Lake Ohau,0
Danseys Pass,1010
Ngapara,1880
Lower Waitaki,1420
Waihemo,1370
Maheno,2010
Weston,1070
Oamaru North Milner Park,2590
Oamaru North Orana Park,2980
Oamaru Gardens,1210
Glen Warren,1680
Holmes Hill,1370
Oamaru Central,300
South Hill,2250
Inlet Port Oamaru,0
Palmerston,980
Lindis-Nevis Valleys,2480
Cromwell West,3170
Cromwell East,2660
Manuherikia-Ida Valleys,1150
Earnscleugh,730
Dunstan-Galloway,1740
Clyde,1180
Alexandra North,2920
Alexandra South,2710
Maniototo,1660
Teviot Valley,1820
Outer Wanaka,410
Glenorchy,500
Inland water Lake Wanaka,0
Outer Wakatipu,860
Inland water Lake Hawea,0
Cardrona,670
Inland water Lake Wakatipu,0
Wanaka Waterfront,2270
Wanaka North,2620
Wanaka West,1840
Albert Town,2140
Wanaka Central,1370
Lake Hawea,1270
Upper Clutha Valley,1310
Kingston,360
Arthurs Point,1210
Wakatipu Basin,1460
Queenstown Hill,0
Warren Park,1710
Sunshine Bay-Fernhill,3280
Arrowtown,2970
Quail Rise,770
Queenstown Central,1180
Queenstown East,1600
Frankton Arm,2190
Frankton,3180
Lake Hayes,380
Kelvin Heights,1230
Shotover Country,2360
Lake Hayes Estate,2280
Jacks Point,1040
Strath Taieri,690
Bucklands Crossing,1520
Waikouaiti,1230
Momona,2380
Taieri,1540
Inlets other Dunedin city,0
Mount Cargill,2070
Bush Road,2410
Mosgiel East,2770
Mosgiel Central,2650
Seddon Park,2930
Wingatui,910
Saddle Hill-Chain Hills,1250
East Taieri,2240
Halfway Bush,1880
Helensburgh,1220
Glenleith,1290
Fairfield (Dunedin city),2580
Inlet Otago Harbour,0
Brockville,2490
Wakari,4260
Abbotsford,2900
Brighton,1520
Pine Hill-Dalmore,2390
Kaikorai-Bradford,1230
Maori Hill,2530
Roslyn (Dunedin city),3170
North East Valley Chingford,1730
Roseneath-Sawyers Bay,1500
Normanby,1470
North East Valley Knox,2700
Belleknowes,2300
Gardens (Dunedin city),4050
Kenmure,2000
